event_cause,corridor,requires_road_closure,duration_bucket,duration_min
vehicle_breakdown,ORR East 1,False,<=1hr,10.37758925
others,Non-corridor,False,>24hr,115117.99897515001
tree_fall,Non-corridor,True,>24hr,9465.174807333333
vehicle_breakdown,Non-corridor,False,<=1hr,38.74983805
others,Non-corridor,False,>24hr,24202.316523816666
water_logging,ORR East 2,False,>24hr,9348.299649083334
others,ORR North 1,False,>24hr,103674.87131448333
tree_fall,Non-corridor,False,1-6hr,293.3450075
vehicle_breakdown,Hosur Road,False,<=1hr,27.2487523
tree_fall,Non-corridor,True,>24hr,2928.5208131000004
pot_holes,Non-corridor,False,>24hr,89112.40243683333
tree_fall,Non-corridor,True,6-24hr,843.3240253
tree_fall,Non-corridor,False,>24hr,2907.6902057166667
others,Bellary Road 1,True,1-6hr,106.41915116666668
others,Tumkur Road,False,1-6hr,133.52983253333335
tree_fall,Bellary Road 1,False,>24hr,1829.3005564666666
vehicle_breakdown,ORR East 1,False,<=1hr,55.541728516666666
vehicle_breakdown,Bellary Road 1,False,1-6hr,69.32987603333332
road_conditions,Non-corridor,False,1-6hr,61.27697078333333
vehicle_breakdown,Non-corridor,False,<=1hr,36.41233746666667
tree_fall,Bellary Road 1,False,>24hr,1819.0784875333334
tree_fall,Bellary Road 1,False,>24hr,1823.1111353833332
tree_fall,Bellary Road 1,False,>24hr,1825.6380844833334
vehicle_breakdown,ORR East 1,False,<=1hr,10.513486133333334
tree_fall,Non-corridor,True,>24hr,22124.802723566667
vehicle_breakdown,Non-corridor,False,1-6hr,83.22766023333334
tree_fall,Non-corridor,False,1-6hr,321.23818236666665
vehicle_breakdown,West of Chord Road,False,<=1hr,44.18835605
vehicle_breakdown,West of Chord Road,False,<=1hr,41.797760616666665
vehicle_breakdown,Non-corridor,False,<=1hr,26.158530816666666
pot_holes,Magadi Road,False,>24hr,8639.783111666668
others,Non-corridor,False,>24hr,20609.415342416665
pot_holes,Non-corridor,False,>24hr,5754.0936329333335
others,Non-corridor,False,<=1hr,15.88912515
tree_fall,Non-corridor,False,1-6hr,116.8119772
others,Mysore Road,True,>24hr,13265.728999266667
others,Non-corridor,False,>24hr,17229.866743983333
pot_holes,Non-corridor,False,>24hr,44592.990813649994
vehicle_breakdown,Non-corridor,False,1-6hr,83.47854003333333
vehicle_breakdown,Mysore Road,False,<=1hr,52.75157615
vehicle_breakdown,ORR North 1,False,1-6hr,74.82553706666666
water_logging,Mysore Road,False,>24hr,8282.429940516666
vehicle_breakdown,Mysore Road,False,<=1hr,47.68990556666667
tree_fall,Non-corridor,False,<=1hr,8.620181266666666
tree_fall,Non-corridor,True,>24hr,8761.173063133332
tree_fall,Mysore Road,True,>24hr,13245.791290366667
vehicle_breakdown,ORR West 1,False,1-6hr,141.02791743333333
tree_fall,Mysore Road,False,>24hr,13203.4163744
tree_fall,Non-corridor,False,>24hr,13212.042736283332
pot_holes,ORR East 1,False,>24hr,171296.69161185002
construction,Bellary Road 1,False,6-24hr,545.3734030166667
tree_fall,Non-corridor,True,1-6hr,61.79462865
vehicle_breakdown,Mysore Road,False,1-6hr,102.3569732
others,Non-corridor,False,>24hr,150768.82749298334
vehicle_breakdown,Bellary Road 2,False,1-6hr,102.53794968333334
vehicle_breakdown,Magadi Road,False,1-6hr,106.48373361666667
vehicle_breakdown,Hosur Road,True,1-6hr,75.3592525
others,ORR North 2,False,>24hr,59870.439726950004
pot_holes,Non-corridor,True,6-24hr,365.2268505833334
water_logging,ORR East 1,False,<=1hr,49.972616783333336
vehicle_breakdown,Mysore Road,True,1-6hr,111.6212591
tree_fall,Mysore Road,True,>24hr,13118.919869416666
road_conditions,ORR West 1,False,>24hr,56341.49851448333
vehicle_breakdown,Hosur Road,False,<=1hr,52.83199456666667
water_logging,ORR East 1,False,>24hr,9653.8610076
others,Non-corridor,False,1-6hr,81.46960444999999
others,Mysore Road,False,<=1hr,15.3042995
tree_fall,Non-corridor,True,1-6hr,178.15932105
construction,Bellary Road 2,False,<=1hr,31.910260883333333
pot_holes,Non-corridor,False,>24hr,1510.57253935
vehicle_breakdown,Non-corridor,False,<=1hr,11.80107465
vehicle_breakdown,Magadi Road,False,<=1hr,24.504338233333332
tree_fall,Non-corridor,False,6-24hr,1228.0686473666667
vehicle_breakdown,Tumkur Road,False,1-6hr,86.29591815
vehicle_breakdown,ORR North 1,False,<=1hr,18.84050655
vehicle_breakdown,Bellary Road 1,False,<=1hr,23.641425966666667
vehicle_breakdown,Tumkur Road,False,<=1hr,36.504006333333336
vehicle_breakdown,Mysore Road,True,<=1hr,23.382822833333332
vehicle_breakdown,Non-corridor,False,1-6hr,104.21347743333334
vehicle_breakdown,Bellary Road 1,False,1-6hr,86.29412574999999
vehicle_breakdown,Old Airport Road,False,1-6hr,70.8526748
vehicle_breakdown,Magadi Road,False,1-6hr,72.9697583
construction,Bellary Road 2,False,1-6hr,60.798384383333335
road_conditions,CBD 2,False,>24hr,40387.38096753333
others,Bannerghata Road,False,1-6hr,119.59072880000001
vehicle_breakdown,Non-corridor,False,1-6hr,78.98550595
vehicle_breakdown,ORR North 2,False,1-6hr,138.03128305
vehicle_breakdown,Old Airport Road,False,<=1hr,28.376774483333335
