event_type,event_cause,requires_road_closure,corridor,priority,police_station,latitude,longitude,hour,dow,month,duration_min,duration_bucket
unplanned,vehicle_breakdown,False,ORR East 1,High,HSR Layout,12.9218755,77.6451585,4,1,1,10.37758925,<=1hr
unplanned,others,False,Non-corridor,Low,Wilson Garden,12.955622,77.5857083,6,5,11,115117.99897515001,>24hr
unplanned,tree_fall,True,Non-corridor,Low,Sadashivanagar,13.0061469,77.5794348,17,3,3,9465.174807333333,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Wilson Garden,12.95398,77.5852333,4,1,1,38.74983805,<=1hr
unplanned,others,False,Non-corridor,Low,Cubbon Park,12.973175,77.6003961,6,1,1,24202.316523816666,>24hr
unplanned,water_logging,False,ORR East 2,High,K.R. Pura,13.0008457,77.6813712,18,3,3,9348.299649083334,>24hr
unplanned,others,False,ORR North 1,High,Hebbala,13.0418933,77.594705,19,1,12,103674.87131448333,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Jayanagara,12.9233517,77.5904883,19,3,3,293.3450075,1-6hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Madiwala,12.9071221,77.6286395,19,3,3,27.2487523,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,Jayanagara,12.927375,77.5806883,19,3,3,2928.5208131000004,>24hr
unplanned,pot_holes,False,Non-corridor,Low,Jayanagara,12.9169074,77.5950955,22,4,1,89112.40243683333,>24hr
unplanned,tree_fall,True,Non-corridor,Low,Wilson Garden,12.9463911,77.597326,6,3,3,843.3240253,6-24hr
unplanned,tree_fall,False,Non-corridor,Low,Jayanagara,12.92757,77.5832051,20,3,3,2907.6902057166667,>24hr
unplanned,others,True,Bellary Road 1,High,High ground,12.9936273,77.5844677,20,3,3,106.41915116666668,1-6hr
unplanned,others,False,Tumkur Road,High,Yeshwanthpura,13.0262806,77.5442344,20,3,3,133.52983253333335,1-6hr
unplanned,tree_fall,False,Bellary Road 1,High,High ground,12.9938639,77.5844374,20,3,3,1829.3005564666666,>24hr
unplanned,vehicle_breakdown,False,ORR East 1,High,Bellandur,12.9188682,77.6687736,21,1,1,55.541728516666666,<=1hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,High ground,12.9849833,77.5883633,21,1,1,69.32987603333332,1-6hr
unplanned,road_conditions,False,Non-corridor,Low,Whitefield,12.9842019,77.7336286,21,1,1,61.27697078333333,1-6hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Mahadevapura,12.9848257,77.7527586,22,1,1,36.41233746666667,<=1hr
unplanned,tree_fall,False,Bellary Road 1,High,High ground,12.9932986,77.5837571,20,3,3,1819.0784875333334,>24hr
unplanned,tree_fall,False,Bellary Road 1,High,High ground,12.9937523,77.5842482,20,3,3,1823.1111353833332,>24hr
unplanned,tree_fall,False,Bellary Road 1,High,High ground,12.9938868,77.5841876,20,3,3,1825.6380844833334,>24hr
unplanned,vehicle_breakdown,False,ORR East 1,High,HAL Old Airport,12.9368467,77.6928653,23,1,1,10.513486133333334,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,Malleshwaram,13.0126766,77.5581246,20,3,3,22124.802723566667,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Jnanabharathi,12.9513113,77.4994888,23,1,1,83.22766023333334,1-6hr
unplanned,tree_fall,False,Non-corridor,Low,J.P. Nagar,12.9165983,77.583705,20,3,3,321.23818236666665,1-6hr
unplanned,vehicle_breakdown,False,West of Chord Road,High,Vijayanagara,12.9740913,77.5452252,0,2,1,44.18835605,<=1hr
unplanned,vehicle_breakdown,False,West of Chord Road,High,Vijayanagara,12.9740971,77.5449011,0,2,1,41.797760616666665,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Chamarajpet,12.9688926,77.569795,1,2,1,26.158530816666666,<=1hr
unplanned,pot_holes,False,Magadi Road,High,Kamakshipalya,12.9838737,77.5286068,23,1,1,8639.783111666668,>24hr
unplanned,others,False,Non-corridor,Low,Byatarayanapura,12.9595586,77.5162093,23,1,1,20609.415342416665,>24hr
unplanned,pot_holes,False,Non-corridor,Low,J.P. Nagar,12.9161187,77.5856548,21,3,3,5754.0936329333335,>24hr
unplanned,others,False,Non-corridor,Low,Jnanabharathi,12.9449039,77.4949618,21,3,3,15.88912515,<=1hr
unplanned,tree_fall,False,Non-corridor,Low,Pulikeshinagar(F.Town),12.9873133,77.6163481,21,3,3,116.8119772,1-6hr
unplanned,others,True,Mysore Road,High,Chamarajpet,12.9613232,77.5644194,21,3,3,13265.728999266667,>24hr
unplanned,others,False,Non-corridor,Low,Byatarayanapura,12.959419,77.5165897,21,3,3,17229.866743983333,>24hr
unplanned,pot_holes,False,Non-corridor,Low,Adugodi,12.9431035,77.6220445,21,3,3,44592.990813649994,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Electronic City,12.8482637,77.6713737,2,2,1,83.47854003333333,1-6hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Ashok Nagar,12.96672,77.6093294,5,2,1,52.75157615,<=1hr
unplanned,vehicle_breakdown,False,ORR North 1,High,Banaswadi,13.0253205,77.6400845,21,3,3,74.82553706666666,1-6hr
unplanned,water_logging,False,Mysore Road,High,Halasuru Gate,12.9641056,77.5825203,3,2,1,8282.429940516666,>24hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Byatarayanapura,12.9480512,77.5343585,4,2,1,47.68990556666667,<=1hr
unplanned,tree_fall,False,Non-corridor,Low,R.T. Nagar,13.0078566,77.5920655,21,3,3,8.620181266666666,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,Sadashivanagar,13.0022504,77.5722138,21,3,3,8761.173063133332,>24hr
unplanned,tree_fall,True,Mysore Road,High,Chamarajpet,12.9586724,77.5629452,21,3,3,13245.791290366667,>24hr
unplanned,vehicle_breakdown,False,ORR West 1,High,Banashankari,12.9238693,77.5536044,5,2,1,141.02791743333333,1-6hr
unplanned,tree_fall,False,Mysore Road,High,Chamarajpet,12.9601533,77.5633429,22,3,3,13203.4163744,>24hr
unplanned,tree_fall,False,Non-corridor,Low,Chamarajpet,12.9578001,77.5631189,22,3,3,13212.042736283332,>24hr
unplanned,pot_holes,False,ORR East 1,High,Madiwala,12.9187567,77.621505,2,5,12,171296.69161185002,>24hr
unplanned,construction,False,Bellary Road 1,High,Hebbala,13.0331905,77.5901915,22,3,3,545.3734030166667,6-24hr
unplanned,tree_fall,True,Non-corridor,Low,Basavanagudi,12.9392829,77.5596125,23,3,3,61.79462865,1-6hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Chamarajpet,12.9614398,77.5600867,8,2,1,102.3569732,1-6hr
unplanned,others,False,Non-corridor,Low,Jnanabharathi,12.9516567,77.500185,9,5,12,150768.82749298334,>24hr
unplanned,vehicle_breakdown,False,Bellary Road 2,High,Yelahanka,13.114305,77.60655,20,2,1,102.53794968333334,1-6hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Kamakshipalya,12.9900159,77.5025425,20,2,1,106.48373361666667,1-6hr
unplanned,vehicle_breakdown,True,Hosur Road,High,Madiwala,12.9216832,77.6199372,19,2,1,75.3592525,1-6hr
unplanned,others,False,ORR North 2,High,Kodigehalli,13.0467369,77.575502,7,3,12,59870.439726950004,>24hr
unplanned,pot_holes,True,Non-corridor,Low,K.R. Pura,13.0161873,77.7093516,0,6,1,365.2268505833334,6-24hr
unplanned,water_logging,False,ORR East 1,High,HAL Old Airport,12.938565,77.6979933,23,3,3,49.972616783333336,<=1hr
unplanned,vehicle_breakdown,True,Mysore Road,High,Halasuru Gate,12.9690624,77.5872736,23,3,3,111.6212591,1-6hr
unplanned,tree_fall,True,Mysore Road,High,Chamarajpet,12.961311,77.55932,23,3,3,13118.919869416666,>24hr
unplanned,road_conditions,False,ORR West 1,High,K.S. Layout,12.9146696,77.5640607,21,2,1,56341.49851448333,>24hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Electronic City,12.8700974,77.6533824,0,4,3,52.83199456666667,<=1hr
unplanned,water_logging,False,ORR East 1,High,Bellandur,12.9211317,77.6627683,6,3,1,9653.8610076,>24hr
unplanned,others,False,Non-corridor,Low,Jnanabharathi,12.9793286,77.5105419,0,4,3,81.46960444999999,1-6hr
unplanned,others,False,Mysore Road,High,Byatarayanapura,12.94819783,77.53467664,23,2,1,15.3042995,<=1hr
unplanned,tree_fall,True,Non-corridor,Low,R.T. Nagar,13.022765,77.6014354,0,4,3,178.15932105,1-6hr
planned,construction,False,Bellary Road 2,High,Chikkajala,13.1511992,77.620242,0,3,2,31.910260883333333,<=1hr
unplanned,pot_holes,False,Non-corridor,Low,Yelahanka,13.1212507,77.6179465,21,0,11,1510.57253935,>24hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Jnanabharathi,12.9664142,77.5125512,0,3,2,11.80107465,<=1hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Magadi Road,12.9758786,77.5643384,1,4,3,24.504338233333332,<=1hr
unplanned,tree_fall,False,Non-corridor,Low,J.P. Nagar,12.9124656,77.5805324,5,3,3,1228.0686473666667,6-24hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Peenya,13.0378641,77.5222897,1,3,2,86.29591815,1-6hr
unplanned,vehicle_breakdown,False,ORR North 1,High,Hebbala,13.0436683,77.6067467,2,3,2,18.84050655,<=1hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,Sadashivanagar,13.0145688,77.5835164,3,3,2,23.641425966666667,<=1hr
unplanned,vehicle_breakdown,False,Tumkur Road,High,Yeshwanthpura,13.0186759,77.5588615,4,4,3,36.504006333333336,<=1hr
unplanned,vehicle_breakdown,True,Mysore Road,High,Byatarayanapura,12.9494883,77.5368741,4,4,3,23.382822833333332,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,R.T. Nagar,13.0229482,77.601028,4,4,3,104.21347743333334,1-6hr
unplanned,vehicle_breakdown,False,Bellary Road 1,High,High ground,12.9928917,77.5854867,2,3,2,86.29412574999999,1-6hr
unplanned,vehicle_breakdown,False,Old Airport Road,High,Jeevanbheemanagar,12.9625233,77.6415686,4,4,3,70.8526748,1-6hr
unplanned,vehicle_breakdown,False,Magadi Road,High,Kamakshipalya,12.9891874,77.5070709,4,4,3,72.9697583,1-6hr
unplanned,construction,False,Bellary Road 2,High,Chikkajala,13.16120295,77.62691818,4,3,2,60.798384383333335,1-6hr
unplanned,road_conditions,False,CBD 2,High,Cubbon Park,12.9844178,77.5970285,5,4,3,40387.38096753333,>24hr
unplanned,others,False,Bannerghata Road,High,Hulimavu,12.8569988,77.5889807,5,3,2,119.59072880000001,1-6hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Wilson Garden,12.9446407,77.5969852,3,3,2,78.98550595,1-6hr
unplanned,vehicle_breakdown,False,ORR North 2,High,Jalahalli,13.0414238,77.545608,5,4,3,138.03128305,1-6hr
unplanned,vehicle_breakdown,False,Old Airport Road,High,Jeevanbheemanagar,12.95983785,77.64811735,5,3,2,28.376774483333335,<=1hr
unplanned,vehicle_breakdown,False,Non-corridor,Low,Jayanagara,12.9197329,77.5835635,5,4,3,93.05635131666666,1-6hr
unplanned,others,False,Magadi Road,High,Kamakshipalya,12.9875849,77.5182251,21,5,1,16403.151545516666,>24hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Electronic City,12.8885722,77.640446,6,3,2,11.49699995,<=1hr
unplanned,pot_holes,False,Non-corridor,Low,Shivajinagar,12.9858066,77.6051199,2,6,1,31510.201385300003,>24hr
unplanned,construction,False,Non-corridor,Low,Hennuru,13.0450698,77.6440587,5,4,3,9655.520589099999,>24hr
unplanned,vehicle_breakdown,False,Mysore Road,High,Byatarayanapura,12.9541849,77.5435568,7,3,2,66.23017465000001,1-6hr
unplanned,others,False,Non-corridor,Low,Chamarajpet,12.9679023,77.5680413,6,4,3,199.88949181666666,1-6hr
unplanned,vehicle_breakdown,False,Hosur Road,High,Madiwala,12.9013118,77.6322397,8,3,2,75.03727443333334,1-6hr
unplanned,others,False,Hennur Main Road,High,K.G. Halli,13.0379483,77.6257684,6,4,3,43.87439846666667,<=1hr
unplanned,pot_holes,False,Non-corridor,Low,K.S. Layout,12.8980705,77.5460958,22,4,12,11562.4573284,>24hr
